Episode 455, Reward: 283.9, Epsilon: 0.102
Episode 456, Reward: 213.5, Epsilon: 0.101
Episode 457, Reward: 276.2, Epsilon: 0.101
Episode 458, Reward: 254.9, Epsilon: 0.100
Episode 459, Reward: 322.4, Epsilon: 0.100
Episode 460, Reward: 115.2, Epsilon: 0.099
Episode 461, Reward: 63.2, Epsilon: 0.099
Episode 462, Reward: 268.7, Epsilon: 0.098
Episode 463, Reward: 240.3, Epsilon: 0.098
Episode 464, Reward: 268.7, Epsilon: 0.097
Episode 465, Reward: 244.0, Epsilon: 0.097
Episode 466, Reward: 216.9, Epsilon: 0.096
Episode 467, Reward: 258.4, Epsilon: 0.096
Episode 468, Reward: 227.2, Epsilon: 0.095
Episode 469, Reward: 237.6, Epsilon: 0.095
Episode 470, Reward: 264.6, Epsilon: 0.094
Episode 471, Reward: 125.7, Epsilon: 0.094
Episode 472, Reward: 68.9, Epsilon: 0.093
Episode 473, Reward: 99.6, Epsilon: 0.093
Episode 474, Reward: 247.8, Epsilon: 0.092
Episode 475, Reward: 267.5, Epsilon: 0.092
Episode 476, Reward: 217.6, Epsilon: 0.092
Episode 477, Reward: 256.9, Epsilon: 0.091
Episode 478, Reward: 210.7, Epsilon: 0.091
Episode 479, Reward: 184.2, Epsilon: 0.090
Episode 480, Reward: 249.5, Epsilon: 0.090
Episode 481, Reward: 204.5, Epsilon: 0.089
Episode 482, Reward: 260.8, Epsilon: 0.089
Episode 483, Reward: 248.1, Epsilon: 0.088
Episode 484, Reward: 249.4, Epsilon: 0.088
Episode 485, Reward: 244.3, Epsilon: 0.088
Episode 486, Reward: 62.5, Epsilon: 0.087
Episode 487, Reward: 248.5, Epsilon: 0.087
Episode 488, Reward: 249.8, Epsilon: 0.086
Episode 489, Reward: 272.5, Epsilon: 0.086
Episode 490, Reward: 115.8, Epsilon: 0.085
Episode 491, Reward: 243.8, Epsilon: 0.085
Episode 492, Reward: 228.7, Epsilon: 0.084
Episode 493, Reward: 243.1, Epsilon: 0.084
Episode 494, Reward: 162.4, Epsilon: 0.084
Episode 495, Reward: 268.5, Epsilon: 0.083
Episode 496, Reward: 235.2, Epsilon: 0.083
Episode 497, Reward: 206.4, Epsilon: 0.082
Episode 498, Reward: 134.9, Epsilon: 0.082
Episode 499, Reward: 162.4, Epsilon: 0.082
Evaluation: 215.0
New best model saved!
Episode 500, Reward: 238.4, Epsilon: 0.081
Episode 501, Reward: 257.7, Epsilon: 0.081
Episode 502, Reward: 257.3, Epsilon: 0.080
Episode 503, Reward: 204.9, Epsilon: 0.080
Episode 504, Reward: 237.1, Epsilon: 0.080
Episode 505, Reward: 265.2, Epsilon: 0.079
Episode 506, Reward: 170.7, Epsilon: 0.079
Episode 507, Reward: 240.4, Epsilon: 0.078
Episode 508, Reward: 241.7, Epsilon: 0.078
Episode 509, Reward: 245.8, Epsilon: 0.078
